id,file_id,yl,y,user_id,algorithm,created_at,updated_at,mode
9466,335,-1,1,59,rt,2018-02-02 18:43:06.198275,2018-02-02 18:43:06.198319,test
9467,264,-1,1,59,rt,2018-02-02 18:43:09.957347,2018-02-02 18:43:09.957388,test
9468,1217,-1,2,59,rt,2018-02-02 18:43:12.932321,2018-02-02 18:43:12.932362,test
9469,1294,-1,2,59,rt,2018-02-02 18:43:15.940025,2018-02-02 18:43:15.940066,test
9470,1263,1,2,59,rt,2018-02-02 18:43:20.731068,2018-02-02 18:43:20.731132,test
9471,1169,-1,2,59,rt,2018-02-02 18:43:25.092697,2018-02-02 18:43:25.092739,test
9472,261,1,1,59,rt,2018-02-02 18:43:28.385297,2018-02-02 18:43:28.385337,test
9473,344,1,1,59,rt,2018-02-02 18:43:32.081048,2018-02-02 18:43:32.081090,test
9474,1351,-1,2,59,rt,2018-02-02 18:43:35.571567,2018-02-02 18:43:35.571610,test
9475,426,-1,1,59,rt,2018-02-02 18:43:45.359434,2018-02-02 18:43:45.359477,test
9476,444,-1,1,59,rt,2018-02-02 18:55:19.147594,2018-02-02 18:55:19.147640,test
9477,296,1,1,59,rt,2018-02-02 18:55:28.053810,2018-02-02 18:55:28.053853,test
9478,1436,1,2,59,rt,2018-02-02 18:55:31.522254,2018-02-02 18:55:31.522295,test
9479,1201,-1,2,59,rt,2018-02-02 18:55:35.072533,2018-02-02 18:55:35.072574,test
9480,1178,-1,2,59,rt,2018-02-02 18:55:38.087311,2018-02-02 18:55:38.087352,test
9481,355,-1,1,59,rt,2018-02-02 18:55:41.596887,2018-02-02 18:55:41.596941,test
9482,1299,-1,2,59,rt,2018-02-02 18:55:45.453860,2018-02-02 18:55:45.453904,test
9483,1333,-1,2,59,rt,2018-02-02 18:55:49.519638,2018-02-02 18:55:49.519680,test
9484,1272,-1,2,59,rt,2018-02-02 18:55:53.135183,2018-02-02 18:55:53.135224,test
9485,298,-1,1,59,rt,2018-02-02 18:56:00.427300,2018-02-02 18:56:00.427342,test
9486,1261,-1,2,59,rt,2018-02-02 18:56:03.397730,2018-02-02 18:56:03.397799,test
9487,1416,-1,2,59,rt,2018-02-02 18:56:06.904092,2018-02-02 18:56:06.904131,test
9488,457,-1,1,59,rt,2018-02-02 18:56:10.901708,2018-02-02 18:56:10.901753,test
9489,1194,1,2,59,rt,2018-02-02 18:57:07.602314,2018-02-02 18:57:07.602357,test
9490,1386,-1,2,59,rt,2018-02-02 18:57:13.113611,2018-02-02 18:57:13.113658,test
9491,1160,1,2,59,rt,2018-02-02 18:57:19.176422,2018-02-02 18:57:19.176497,test
9492,385,1,1,59,rt,2018-02-02 18:57:26.513888,2018-02-02 18:57:26.513929,test
9493,1193,-1,2,59,rt,2018-02-02 18:57:30.710801,2018-02-02 18:57:30.710842,test
9494,391,1,1,59,rt,2018-02-02 18:57:35.087660,2018-02-02 18:57:35.087703,test
9495,1226,-1,2,59,rt,2018-02-02 18:57:44.302803,2018-02-02 18:57:44.302874,test
9496,280,1,1,59,rt,2018-02-02 18:57:50.241533,2018-02-02 18:57:50.241574,test
9497,1211,-1,2,59,rt,2018-02-02 22:29:40.410545,2018-02-02 22:29:40.410589,test
9498,1292,-1,2,59,rt,2018-02-02 22:29:44.192602,2018-02-02 22:29:44.192644,test
9499,464,-1,1,59,rt,2018-02-02 22:29:47.536142,2018-02-02 22:29:47.536182,test
9500,1191,-1,2,59,rt,2018-02-02 22:29:51.288768,2018-02-02 22:29:51.288818,test
9501,387,-1,1,59,rt,2018-02-02 22:29:55.648166,2018-02-02 22:29:55.648205,test
9502,1295,-1,2,59,rt,2018-02-02 22:29:58.476760,2018-02-02 22:29:58.476837,test
9503,1406,-1,2,59,rt,2018-02-02 22:30:01.409001,2018-02-02 22:30:01.409041,test
9504,306,1,1,59,rt,2018-02-02 22:30:04.745142,2018-02-02 22:30:04.745181,test
9505,1433,-1,2,59,rt,2018-02-02 22:30:07.995644,2018-02-02 22:30:07.995684,test
9506,1223,-1,2,59,rt,2018-02-02 22:30:10.942047,2018-02-02 22:30:10.942087,test
9507,1384,-1,2,59,rt,2018-02-02 22:30:13.990879,2018-02-02 22:30:13.990920,test
9508,337,-1,1,59,rt,2018-02-02 22:30:17.191426,2018-02-02 22:30:17.191476,test
